Unidade da Federação,Código,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rondônia,11,0.663476,0.642692,0.655898,0.661969,0.664114,0.668052,0.660341,0.679131,0.698207,0.709207,0.703686,0.693786,0.693490,0.694335,0.690432,0.691572,0.688590,0.696490,0.694935
Acre,12,0.733505,0.720977,0.735187,0.733279,0.732895,0.726051,0.726923,0.732872,0.715910,0.714592,0.716393,0.698498,0.709874,0.702146,0.682746,0.683597,0.694903,0.697213,0.694952
Amazonas,13,0.891846,0.898752,0.907582,0.906511,0.904798,0.905461,0.903919,0.900838,0.896882,0.884592,0.881550,0.880242,0.874176,0.868583,0.866237,0.864297,0.864342,0.865525,0.867045
Roraima,14,0.754187,0.751256,0.745649,0.746504,0.757404,0.749061,0.749445,0.756471,0.757445,0.748618,0.746039,0.737259,0.746509,0.736321,0.732934,0.732891,0.739614,0.736621,0.729619
Pará,15,0.728359,0.725016,0.735970,0.731493,0.737730,0.735058,0.750837,0.732581,0.754573,0.762108,0.756890,0.737801,0.727915,0.716042,0.701392,0.713949,0.716724,0.732364,0.747389
Amapá,16,0.802527,0.787800,0.795061,0.782708,0.791405,0.777855,0.781591,0.782225,0.774362,0.770029,0.774748,0.765663,0.773062,0.769808,0.759556,0.760113,0.765715,0.764604,0.754573
Tocantins,17,0.709031,0.689553,0.692404,0.694704,0.704422,0.702163,0.695974,0.689725,0.712411,0.706482,0.709824,0.707042,0.710743,0.715613,0.716685,0.715442,0.714197,0.715154,0.690132
Maranhão,21,0.726878,0.726222,0.733106,0.747359,0.754244,0.740652,0.730672,0.727809,0.740196,0.727895,0.739431,0.733188,0.729936,0.720329,0.716927,0.719273,0.726050,0.719922,0.716964
Piauí,22,0.769564,0.757789,0.758241,0.767973,0.784127,0.761221,0.756198,0.761951,0.775608,0.771262,0.779198,0.775369,0.779105,0.770228,0.769381,0.762341,0.763947,0.759958,0.746100
Ceará,23,0.786772,0.782014,0.792612,0.792617,0.786051,0.794227,0.786160,0.795191,0.798106,0.790217,0.802985,0.799937,0.792580,0.791531,0.789309,0.776891,0.784155,0.777462,0.762837
Rio Grande do Norte,24,0.798872,0.795312,0.799420,0.803622,0.804342,0.804113,0.805360,0.805413,0.814128,0.806850,0.810998,0.810073,0.801773,0.799565,0.800925,0.792455,0.786695,0.783211,0.771693
Paraíba,25,0.777902,0.774334,0.770663,0.768940,0.774127,0.778311,0.777112,0.778778,0.782938,0.781692,0.791399,0.784294,0.788873,0.784818,0.780546,0.780096,0.779396,0.783012,0.775780
Pernambuco,26,0.795667,0.791996,0.797682,0.793659,0.786755,0.792372,0.789048,0.789191,0.795613,0.796663,0.803524,0.806319,0.801308,0.794733,0.790401,0.790723,0.787867,0.788036,0.775531
Alagoas,27,0.707149,0.724757,0.731059,0.725812,0.732877,0.740501,0.729450,0.734932,0.748682,0.754962,0.755656,0.744972,0.746158,0.747634,0.734830,0.717591,0.719386,0.715405,0.699491
Sergipe,28,0.746290,0.731878,0.740596,0.736274,0.720503,0.726835,0.722027,0.713271,0.730533,0.736298,0.744057,0.731921,0.730495,0.732204,0.737925,0.730310,0.741566,0.731055,0.718599
Bahia,29,0.771418,0.777064,0.788134,0.792030,0.786248,0.788698,0.791933,0.794618,0.790770,0.783412,0.782281,0.780390,0.778020,0.775910,0.776509,0.781992,0.783131,0.776351,0.766505
Minas Gerais,31,0.822643,0.823687,0.826222,0.824006,0.825257,0.831472,0.831392,0.829374,0.833219,0.827357,0.826352,0.829611,0.825613,0.819167,0.810631,0.814644,0.818877,0.817957,0.806204
Espírito Santo,32,0.787016,0.787974,0.798309,0.795508,0.792566,0.793213,0.799044,0.787945,0.787483,0.783108,0.774786,0.768602,0.769294,0.757844,0.747877,0.744252,0.769704,0.761845,0.754653
Rio de Janeiro,33,0.843051,0.838942,0.839599,0.844974,0.844868,0.843318,0.836786,0.837431,0.833818,0.832692,0.827805,0.827616,0.825656,0.828041,0.832271,0.830283,0.830066,0.824804,0.814066
São Paulo,34,0.874623,0.874447,0.877008,0.879179,0.876696,0.879376,0.881968,0.877212,0.880277,0.879435,0.877765,0.876080,0.873122,0.871508,0.870776,0.867509,0.870907,0.870916,0.860658
Paraná,41,0.785731,0.774600,0.783146,0.792089,0.800034,0.802068,0.793297,0.801559,0.802788,0.797691,0.795766,0.786344,0.784089,0.782616,0.772889,0.773335,0.772714,0.783962,0.754932
Santa Catarina,42,0.735821,0.732940,0.742839,0.750767,0.756968,0.755671,0.751064,0.748850,0.756823,0.757163,0.758710,0.751677,0.764030,0.765502,0.755703,0.760321,0.764828,0.766119,0.759050
Rio Grande do Sul,43,0.790580,0.772182,0.789569,0.813933,0.799672,0.794692,0.789626,0.797601,0.797096,0.794704,0.804290,0.783107,0.783839,0.780295,0.776248,0.780458,0.779495,0.779499,0.772814
Mato Grosso do Sul,51,0.665083,0.655910,0.663942,0.677547,0.683075,0.680232,0.675954,0.683925,0.687946,0.690452,0.693024,0.688085,0.692664,0.681231,0.675015,0.679411,0.676322,0.678223,0.656969
Mato Grosso,52,0.705199,0.706373,0.706625,0.711716,0.718791,0.716524,0.710669,0.714188,0.715726,0.700560,0.700844,0.702776,0.707444,0.702834,0.699514,0.703153,0.702004,0.697208,0.682132
Goiás,53,0.782629,0.778100,0.781210,0.789545,0.801655,0.797955,0.796521,0.798453,0.799021,0.798265,0.797168,0.791039,0.795816,0.792506,0.783067,0.784806,0.781696,0.780511,0.772503
