Unidade da Federação,Código,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rondônia,11,0.790535,0.768464,0.774926,0.776917,0.788858,0.790281,0.796479,0.830834,0.842143,0.862624,0.852905,0.838824,0.831717,0.852154,0.840719,0.868419,0.842169,0.873022,0.862168
Acre,12,0.839545,0.837409,0.846886,0.868354,0.865321,0.868209,0.868270,0.869448,0.863222,0.855611,0.864449,0.835311,0.827629,0.835543,0.825973,0.813889,0.829399,0.815807,0.804032
Amazonas,13,0.970171,0.972946,0.973139,0.975159,0.975062,0.973063,0.972390,0.972579,0.970386,0.967085,0.962105,0.962776,0.961235,0.964268,0.968105,0.965682,0.961992,0.957885,0.963235
Roraima,14,0.859175,0.881024,0.871617,0.860453,0.853717,0.872855,0.856540,0.864470,0.873776,0.860558,0.860101,0.844297,0.862394,0.857514,0.848332,0.859501,0.852196,0.859567,0.834125
Pará,15,0.872753,0.873611,0.867314,0.870365,0.865593,0.857998,0.886632,0.876778,0.909613,0.919573,0.908228,0.911491,0.889348,0.879594,0.873583,0.894077,0.894283,0.906510,0.926896
Amapá,16,0.827082,0.789789,0.807837,0.802792,0.816648,0.789335,0.800127,0.825610,0.795366,0.785591,0.814642,0.780042,0.817962,0.800237,0.739935,0.754510,0.753987,0.755809,0.728204
Tocantins,17,0.868443,0.854813,0.856579,0.844340,0.847100,0.859922,0.867597,0.864275,0.871837,0.851478,0.852103,0.855670,0.865533,0.876351,0.877819,0.871428,0.858886,0.859418,0.846370
Maranhão,21,0.898132,0.902194,0.912669,0.919352,0.905834,0.915263,0.908481,0.888007,0.896213,0.895468,0.898508,0.904959,0.890295,0.888935,0.886096,0.897031,0.909190,0.898593,0.906488
Piauí,22,0.935639,0.955225,0.935620,0.951367,0.937481,0.929626,0.952499,0.942363,0.921378,0.914025,0.909726,0.932551,0.916041,0.910383,0.901468,0.895180,0.896451,0.890819,0.869005
Ceará,23,0.894928,0.902645,0.904652,0.903154,0.898827,0.900267,0.900600,0.903989,0.897288,0.894373,0.895583,0.899666,0.891188,0.891437,0.888200,0.880743,0.887583,0.880776,0.874941
Rio Grande do Norte,24,0.894844,0.898712,0.902302,0.904250,0.903543,0.903173,0.905557,0.901183,0.905583,0.901103,0.897029,0.896631,0.887100,0.885380,0.883038,0.868304,0.864146,0.864036,0.857834
Paraíba,25,0.928720,0.927039,0.914130,0.926048,0.920529,0.921789,0.927443,0.921618,0.917000,0.919552,0.918741,0.916813,0.919641,0.904752,0.906491,0.907742,0.906489,0.897997,0.893524
Pernambuco,26,0.912906,0.914245,0.912312,0.915161,0.901490,0.906256,0.907502,0.908791,0.896176,0.897410,0.894401,0.907927,0.897476,0.891839,0.893473,0.892935,0.886819,0.887729,0.881992
Alagoas,27,0.863561,0.869598,0.868488,0.865497,0.876004,0.883482,0.879423,0.873858,0.877752,0.873050,0.870844,0.884224,0.886772,0.883813,0.884920,0.877398,0.863922,0.851022,0.862370
Sergipe,28,0.866162,0.866572,0.860200,0.859516,0.843740,0.839531,0.842162,0.836059,0.835509,0.830300,0.839019,0.815728,0.810217,0.822019,0.839662,0.838331,0.835264,0.838100,0.846574
Bahia,29,0.914095,0.925343,0.919005,0.924080,0.914908,0.921370,0.917820,0.922938,0.913228,0.904971,0.899826,0.896334,0.891332,0.897187,0.901530,0.897263,0.891263,0.890289,0.896286
Minas Gerais,31,0.909916,0.913906,0.915945,0.912409,0.912883,0.913700,0.915494,0.909411,0.907400,0.905515,0.904231,0.907136,0.901805,0.895453,0.890300,0.891439,0.897812,0.891920,0.888126
Espírito Santo,32,0.859239,0.858605,0.868354,0.862236,0.861199,0.856692,0.862036,0.845588,0.850888,0.852269,0.844042,0.836387,0.841253,0.816763,0.807779,0.798919,0.843417,0.827348,0.808601
Rio de Janeiro,33,0.862669,0.856913,0.855989,0.872011,0.878606,0.874065,0.870722,0.860553,0.847121,0.850557,0.845195,0.840791,0.840783,0.826354,0.824763,0.823022,0.836551,0.838470,0.835903
São Paulo,34,0.884676,0.886244,0.886030,0.883959,0.879116,0.882891,0.881755,0.876372,0.874522,0.865807,0.861121,0.861218,0.859176,0.850831,0.858813,0.850963,0.861184,0.859577,0.847729
Paraná,41,0.881889,0.885916,0.887093,0.887148,0.890900,0.890520,0.887729,0.888490,0.885678,0.876134,0.868832,0.872808,0.861308,0.863649,0.864183,0.857697,0.855303,0.868964,0.861467
Santa Catarina,42,0.804981,0.808345,0.812641,0.813090,0.810200,0.805142,0.805731,0.802396,0.801329,0.794855,0.789814,0.786695,0.787196,0.789839,0.785920,0.788687,0.782655,0.780215,0.775581
Rio Grande do Sul,43,0.873256,0.878771,0.885370,0.883831,0.876743,0.880751,0.872840,0.880572,0.871183,0.866609,0.864860,0.864895,0.859419,0.856180,0.857862,0.853089,0.846428,0.845348,0.841599
Mato Grosso do Sul,51,0.822283,0.813030,0.813452,0.815853,0.815411,0.808974,0.812639,0.814920,0.812562,0.818354,0.817210,0.813221,0.820971,0.803588,0.803038,0.800713,0.801982,0.790183,0.793526
Mato Grosso,52,0.805886,0.814827,0.824892,0.834647,0.811868,0.814361,0.813571,0.817777,0.803118,0.794862,0.791634,0.807595,0.796303,0.793065,0.787606,0.777428,0.785966,0.774681,0.777562
Goiás,53,0.886168,0.876123,0.876951,0.880508,0.881930,0.880691,0.884690,0.880701,0.874486,0.868037,0.871307,0.859912,0.864544,0.863912,0.850306,0.849079,0.848046,0.840396,0.840816
