Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alta Floresta D'Oeste (RO),111291,143222,173991,167127,168805,191364,248962,256986,262077,280510,329029,341325.0,377799.0,421300.0,478217.0,485374.0,498980.0,495775.0,570272.0
Ariquemes (RO),449593,539636,657193,749021,790697,905203,1064822,1133095,1364694,1651885,1703642,1799853.0,1921532.0,2037799.0,2184346.0,2287910.0,2464704.0,2579278.0,2818049.0
Cabixi (RO),31768,40985,43392,49130,46884,49166,60588,69776,69611,77217,99586,96365.0,113477.0,116565.0,133342.0,138110.0,140503.0,139976.0,167190.0
Cacoal (RO),474443,622437,622415,758960,743194,814890,928699,985479,1186494,1259024,1372705,1433254.0,1660650.0,1794478.0,1947283.0,2082761.0,2175840.0,2261930.0,2519353.0
Cerejeiras (RO),79174,99983,121366,129107,124415,143270,167474,190902,222021,260142,357333,353270.0,392417.0,397736.0,408194.0,439245.0,470647.0,506494.0,600670.0
Colorado do Oeste (RO),87254,103363,114815,126534,126670,137899,157026,174168,193093,206425,222071,242767.0,273759.0,285372.0,306518.0,328377.0,330232.0,334922.0,366931.0
Corumbiara (RO),45165,57284,67309,70936,68935,72291,95990,119226,114768,145412,175872,168681.0,186868.0,190906.0,236624.0,332804.0,320416.0,349289.0,268381.0
Costa Marques (RO),37308,50996,53905,62986,60812,74215,90971,99854,107583,120018,134091,149739.0,168605.0,187170.0,206101.0,212879.0,230151.0,238796.0,261978.0
Espigão D'Oeste (RO),119312,153425,180676,203257,195271,220452,265616,291491,311788,347581,376177,426546.0,462389.0,483962.0,543318.0,566361.0,606072.0,624787.0,666331.0
Guajará-Mirim (RO),174680,247248,302287,327643,325665,374116,491320,521104,598167,715386,516172,605131.0,646154.0,682458.0,740352.0,775195.0,837459.0,892778.0,984586.0
Jaru (RO),306158,385507,420126,569682,614008,693762,708837,722047,797296,861623,1004964,1070429.0,1130660.0,1207965.0,1313922.0,1354733.0,1484555.0,1500855.0,1665068.0
Ji-Paraná (RO),657400,774035,933474,1066022,1110409,1257350,1496176,1640344,1855359,2056220,2318729,2374801.0,2651246.0,2755755.0,2985775.0,3062162.0,3466810.0,3783206.0,4057626.0
Machadinho D'Oeste (RO),83828,129476,156743,186678,167421,183666,234494,254438,272201,301792,353071,396658.0,424790.0,451940.0,512904.0,587758.0,642283.0,632997.0,700317.0
Nova Brasilândia D'Oeste (RO),65740,89821,90569,109279,108175,139569,167221,164381,173651,188992,215982,230676.0,257255.0,272574.0,307760.0,345425.0,345779.0,359625.0,403370.0
Ouro Preto do Oeste (RO),191704,243121,264994,289682,289192,319107,400931,399690,477501,507790,527990,556443.0,600734.0,633050.0,711121.0,762112.0,807497.0,834959.0,885193.0
Pimenta Bueno (RO),180337,227004,264273,308139,311876,336934,419978,471876,540862,602732,687732,755542.0,837925.0,906443.0,1000682.0,1050682.0,1129770.0,1164694.0,1361243.0
Porto Velho (RO),2325673,2765054,3388128,3801042,4093384,4474812,5267602,6841953,9093824,11139255,11970877,11699707.0,12793026.0,13970352.0,14751261.0,16974627.0,16655670.0,17906443.0,19448762.0
Presidente Médici (RO),93482,117213,130513,146979,151891,159520,196550,216194,235589,250510,278269,292636.0,334713.0,359302.0,388308.0,410136.0,418683.0,427885.0,464219.0
Rio Crespo (RO),15549,21179,22353,24700,27237,28672,37220,40075,41934,48230,56106,63732.0,74698.0,78522.0,90904.0,105272.0,102476.0,111100.0,133580.0
Rolim de Moura (RO),231270,288223,334869,388188,407840,466023,590513,570998,627848,756305,845500,926089.0,1024962.0,1082400.0,1197691.0,1304503.0,1291476.0,1281314.0,1397881.0
Santa Luzia D'Oeste (RO),46045,56920,58189,62508,65969,69961,85683,89832,98818,109366,122449,125662.0,132906.0,135949.0,149255.0,153096.0,146269.0,142638.0,156789.0
Vilhena (RO),448260,586621,697750,802054,816425,916061,1148345,1244988,1447187,1491477,1797976,2011515.0,2124668.0,2185475.0,2421840.0,2523712.0,2720979.0,2832738.0,3153000.0
São Miguel do Guaporé (RO),73737,108375,127354,137040,147255,158873,192747,234784,324476,311271,333933,395408.0,411122.0,454048.0,514606.0,633099.0,704874.0,616830.0,730695.0
