uf,media_rendimento,total_empregados
11,2740.35866178785,112
12,2520.08053427032,132
13,2351.91337449974,214
14,2520.59884416296,94
15,2360.82903920687,156
16,2791.14136118948,81
17,2116.72119373386,118
21,2181.03785365052,326
22,2540.72285316104,252
23,2794.96726674726,310
24,2904.25708528158,217
25,2003.26804768598,216
26,2471.12251593824,334
27,2368.55499850579,212
28,2680.1510145974,177
29,2391.46067504883,385
31,3847.93695555944,701
32,3043.37454182018,385
33,3365.25701452761,392
35,4087.637687481,604
41,3811.6755400397,289
42,4381.90886180981,185
43,3961.90496564593,350
50,4113.01914649674,316
51,3972.48404939613,245
52,3563.669778614,409
53,5292.17881939669,213
