codigo_alimento,descricao_alimento
6300101,"ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)"
6300113,ARROZ BRANCO
6300201,ARROZ INTEGRAL
6300211,ARROZ 3 GRAOS
6300212,ARROZ 7 GRAOS
6300706,CANJIQUINHA DE MILHO EM GRAO
6300707,XEREM DE MILHO
6300901,TRIGO EM GRAO
6301001,AMENDOIM (EM GRAO) (IN NATURA)
6301101,ERVILHA EM GRAO
6301201,FAVA EM GRAO
6301204,MANGALO AMARGO EM GRAO
6301214,MANGALO
6301603,FEIJAO DE CORDA
6301634,FEIJAO VERDE
6302001,SEMENTE DE LINHACA
6302002,LINHACA
6302011,SEMENTES NAO ESPECIFICADAS
6302602,ANDU
6302801,GRAO DE BICO
6302901,LENTILHA
6303001,SOJA EM GRAO
6303102,"FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC)"
6303201,SEMENTES DE ABOBORA
6303501,QUIRERA
6304201,PIPOCA  LIGHT
6304901,QUINOA
6305001,CHIA
6380001,SEMENTES DE GIRASSOL
6400101,BATATA INGLESA
6400303,MANDIOQUINHA SALSA (BATATA BAROA)
6400304,CENOURA AMARELA (BATATA BAROA)
6400401,BATATA DOCE
6400501,INHAME
6400508,QUICARE
6400601,MANDIOCA
6400609,AIPIM
6400610,MACAXEIRA
6400701,CARA
6400713,INHAME CARAQUENTO (CARA)
6400802,BATATA (NAO ESPECIFICADA)
6400908,MANDIOQUINHA
6401001,RABANETE
6401101,BETERRABA
6401201,CENOURA
6401301,NABO
6401601,ACAFRAO
6480001,GENGIBRE
6500101,CREME DE ARROZ
6500104,ARROZINA
6500105,MUCILON
6500108,MINGAU DE ARROZ
6500201,FLOCOS DE ARROZ
6500202,CROQUINHOS DE ARROZ
6500301,FARINHA DE AVEIA
6500401,AVEIA EM FLOCOS
6500603,FARINHA DE MILHO
6500614,MINGAU DE MILHO
6500615,MINGAU DE CHOCOLATE
6500616,MINGAU DE MAIZENA
6500617,MINGAU DE NESTON
6500801,CREMOGEMA
6500802,VITAMILHO
6500804,CREME DE MILHO
6500902,SUCRILHOS DE MILHO
6500903,CEREAL MATINAL DE MILHO EM FLOCOS
6501301,GERME DE TRIGO
6501303,FIBRA DE TRIGO
6501304,FIBRA DE CEREAL TRIGO
6501401,FARINHA DE MANDIOCA
6501410,FARINHA DE COPIOBA
