Código da variável,Tradução código da variável
UF,unidade_federacao
ESTRATO_POF,estratificacao_geografica
TIPO_SITUACAO_REG,situacao_domicilio
COD_UPA,codigo_unidade_primaria_amostragem
NUM_DOM,numero_domicilio
NUM_UC,numero_unidade_consumo
COD_INFORMANTE,numero_informante
V6101,rendimento_total_opiniao
V6102,rendimento_minimo_opiniao
V6103,valor_mensal_minimo_opiniao
V61041,padrao_vida_alimentacao
V61042,padrao_vida_moradia
V61043,padrao_vida_vestuario
V61044,padrao_vida_educacao
V61045,padrao_vida_saude
V61046,padrao_vida_lazer
V61051,condicoes_moradia_agua
V61052,condicoes_moradia_energia
V61053,condicoes_moradia_iluminacao_rua
V61054,condicoes_moradia_coleta_lixo
V61055,condicoes_moradia_limpeza/manutencao_rua
V61056,condicoes_moradia_escoamento_chuva
V61057,condicoes_moradia_esgotamento
V61058,condicoes_moradia_transporte_coletivo
V61061,problema_pouco_espaco
V61062,problema_pouco_luz
V61063,problema_goteira
V61064,problema_fundacao
V61065,problema_janela
V61066,problema_inseto
V61067,problema_fumaca
V61068,problema_localizacao
V61069,problema_inundacao
V610610,problema_encosta
V610611,problema_violencia
V61071,atraso_pagamento_aluguel
V61072,atraso_pagamento_agua/eletricidade/gas
V61073,atraso_pagamento_prestacoes_bens
V6108,preocupacao_sem_alimento
V6109,alimentos_acabaram
V6110,sem_condicao_alimentacao_saudavel
V6111,alimentacao_pouca_opcao
V6112,sem_alguma_refeicao_mais18
V6113,comeu_menos_mais18
V6114,sem_comida_mais18
V6115,uma_ou_zero_refeicao_mais18
V6116,sem_condicao_alimentacao_saudavel_menos18
V6117,comeu_menos_menos18
V6118,comeu_menos_qtd_alimentos_menos18
V6119,uma_ou_zero_refeicao_menos18
V6120,fome_menos18
V6121,uma_ou_zero_refeicao_menos8
PESO,fator_expansao_upa
PESO_FINAL,fator_expansao_upa_final
