Código da variável,Tradução código da variável
UF,unidade_federacao
ESTRATO_POF,estratificacao_geografica
TIPO_SITUACAO_REG,situacao_domicilio
COD_UPA,codigo_unidade_primaria_amostragem
NUM_DOM,numero_domicilio
NUM_UC,numero_unidade_consumo
COD_INFORMANTE ,numero_informante
QUADRO,quadro
SEQ,numero_sequencial_linha_quadro
V9005,qnt_alimentos_consumidos
V9007,codigo_unidade_medida
V9001,codigo_tipo_alimento
V9015,horario_consumo_alimento
V9016,codigo_forma_preparacao
V9017,codigo_ocasiao
V9018,codigo_local
V9019,adicao_azeite
V9020,adicao_manteiga
V9021,adicao_acucar
V9022,adicao_adocante
V9023,adicao_mel
V9024,adicao_melado
V9025,adicao_maionese
V9026,adicao_ketchup
V9027,adicao_mostarda
V9028,adicao_shoyu
V9029,adicao_queijo_ralado
V9030,adicao_creme_leite
COD_UNIDADE_MEDIDA_FINAL,codigo_unidade_medida_imputada
COD_PREPARACAO_FINAL,codigo_preparacao_imputada
GRAMATURA1,gramatura
QTD,qnt_gramas
COD_TBCA,codigo_alimento
ENERGIA_KCAL ,energia_kcal
ENERGIA_KJ,energia_kj
PTN,proteinas_gramas
CHOTOT,carboidratos_gramas
FIBRA,fibras_gramas
LIP,lipidios_gramas
COLEST,colestetol_gramas
AGSAT,acidos_graxos_saturados_gramas
AGMONO,acidos_graxos_monoinsaturados_gramas
AGPOLI,acidos_graxos_poliinsaturados_gramas
AGTRANS,acidos_graxos_totais_gramas
CALCIO,calcio_miligramas
FERRO,ferro_miligramas
SODIO,sodio_miligramas
MAGNESIO,magnesio_miligramas
FOSFORO,fosforo_miligramas
POTASSIO,potassio_miligramas
COBRE,cobre_miligramas
ZINCO,zinco_miligramas
VITA_RAE,vitaminaA_micrograma
TIAMINA,vitaminaB1_micrograma
RIBOFLAVINA,vitaminaB2_micrograma
NIACINA,vitaminaB3_micrograma
PIRIDOXAMINA,vitaminaB6_micrograma
COBALAMINA,vitaminaB12_micrograma
VITD,vitaminaD_micrograma
VITE,vitaminaE_micrograma
VITC,vitaminaC_miligramas
FOLATO,folato_micrograma
PESO,fator_expansao_upa
PESO_FINAL,fator_expansao_upa_final
RENDA_TOTAL,renda_bruta_mensal_total
DIA_SEMANA,dia_semana
DIA_ATIPICO,dia_atipico
