Código da variável,Tradução código da variável
UF,unidade_federativa
ESTRATO_POF,estratificacao_geografica
TIPO_SITUACAO_REG,situacao_domicilio
COD_UPA,codigo_unidade_primaria_de_amostragem
NUM_DOM,numero_domicilio
V0201,tipo_domicilio
V0202,material_paredes_externas
V0203,material_telhado
V0204,material_piso
V0205,quantidade_comodos
V0206,quantidade_quartos
V0207,abastecimento_agua
V0208,frequencia_agua_disponivel
V0209,modo_chegada_agua
V02101,agua_aquecida_energia_eletrica
V02102,agua_aquecida_gas
V02103,agua_aquecida_energia_solar
V02104,agua_aquecida_lenha_carvao
V02105,agua_aquecida_outro_modo
V02111,quantidade_banheiro_exclusivo_moradores
V02112,quantidade_banheiro_compartilhado
V02113,sanitario_buraco_dejecoes
V0212,escoadouro_banheiro
V0213,destino_lixo
V02141,energia_eletrica_de_rede_geral
V02142,energia_eletrica_outra_origem
V0215,disponibilidade_energia_eletrica
V02161,uso_gas_preparacao_alimentos
V02162,uso_carvao_preparacao_alimentos
V02163,energia_eletrica_preparacao_alimentos
V02164,outro_combustivel_preparacao_alimentos
V0217,condicao_domicilio
V0219,condicao_aluguel
V0220,rua_pavimentada
V0221,distribuicao_correios
PESO,fator_expansao_upa
PESO_FINAL,fator_expansão_upa_final
V6199,fator_seguranca_alimentar
