Código da variável,Tradução código da variável
UF,unidade_federativa
ESTRATO_POF,estratificacao_geografica
TIPO_SITUACAO_REG,situacao_domicilio
COD_UPA,codigo_unidade_primaria_de_amostragem
NUM_DOM,numero_domicilio
NUM_UC,numero_unidade_consumo
COD_INFORMANTE,codigo_informante
V0306,pessoa_referencia_unidade_consumo
V0401,presenca_na_pesquisa
V04021,dia_nascimento
V04022,mes_nascimento
V04023,ano_nascimento
V0403,idade_anos
V0404,sexo
V0405,cor_ou_raca
V0406,plano_saude
V0407,existe_rendimento_trabalho
,
V0408,aquisicao_bens_mesmo_sem_rendimento
V0409,quantidade_cartoes_credito
V0410,quantidade_conta_corrente
V0411,quantidade_cheque_especial
V0412,uso_cheque_especial_90_dias
V0413,quantidade_caderneta_poupanca
V0414,sabe_ler_escrever
V0415,frequenta_escola_creche
V0416,frequencia_semanal_escola
V041711,desjejum_escola_creche
V041712,desjejum_sem_custo_escola_creche
V041721,lanche_escola_creche
V041722,lanche_sem_custo_escola_creche
V041731,almoco_escola_creche
V041732,almoco_sem_custo_escola_creche
V041741,jantar_escola_creche
V041742,jantar_sem_custo_escola_creche
V0418,escola_frequentada
V0419,curso_frequentado
V0420,duracao_curso_frequentado
V0421,organizacao_temporal_curso_frequentado
,
V0422,ano_semestre_serie_frequentado
V0423,conclusao_curso_superior_graduacao
V0424,ja_frequentou_escola_creche
V0425,curso_mais_elevado_frequentado_anteriormente
V0426,duracao_curso_anterior
V0427,organizacao_temporal_curso_anterior
V0428,concluiu_com_aprovacao_primeiro_tempo_curso
V0429,ultimo_ano_aprovado_do_curso_anterior
V0430,conclusao_curso_anterior
ANOS_ESTUDO,anos_de_estudo
PESO,fator_expansao_upa
PESO_FINAL,fator_expansao_upa_total
RENDA_TOTAL,rendimento_bruto_mensal_total
NIVEL_INSTRUCAO,nivel_instrucao
RENDA_DISP_PC,renda_disponivel_familiar_per_capita
RENDA_MONET_PC,renda_monetaria_familiar_per_capita
RENDA_NAO_MONET_PC,renda_nao_monetaria_familiar_per_capita
DEDUCAO_PC,deducao_familiar_per_capita
