Código da variável,Tradução código da variável
UF,unidade_federativa
ESTRATO_POF,estratificacao_geografica
TIPO_SITUACAO_REG,situacao_domicilio
COD_UPA,codigo_unidade_primaria_amostragem
NUM_DOM,numero_domicilio
NUM_UC,numero_unidade_consumo
COD_INFORMANTE,codigo_informante
CONTAGEM_PONDERADA,contagem_ponderada_perdas
FUNCAO_PERDA ,valor_funcao_perda_individual 
V201,banheiro_nao_exclusivo_domicilio
V202,domicilio_piso_diferente_ceramica_lajota_pedra_madeira
V204,domicilio_telhado_zinco_aluminio_chapa_outros
V205,domicilio_sem_parede_revestimento_ou_madeira_
V206,densidade_domiciliar_excessiva
V207,domicilio_pouco_espaco
V208,domicilio_com_mosquitos
V209,domicilio_problema_ambiental_devido_transito_industria
V210,domicilio_telhado_goteiras
V211,domicilio_estrutura_umida
V212,domicilio_proximo_fonte_agua_poluida
V214,domicilio_area_sujeita_inundacao_deslizamento
V215,violencia_vandalismo_proximos
V216,padrao_de_vida_domicilio_ruim
V217,domicilio_telhado_diferente_laje_madeira
V301,energia_eletrica_diferente_de_rede_geral
V302,forma_de_abastecimento_diferente_de_rede_geral
V303,escoadouro_esgoto_diferente_rede_geral
V304,lixo_nao_coletado
V305,servico_fornecimento_agua_ruim
V306,servico_fornecimento_energia_eletrica_ruim
V307,servico_escoamento_sanitario_ruim
V308,servico_coleta_lixo_ruim
V401,restricao_aquisicao_produtos_farmaceuticos
V402,restricao_servicos_saude
V403,padrao_familiar_saude_ruim
V501,crianca_adolescente_fora_da_escola
V502,jovem_adulto_analfabeto
V503,jovem_adulto_sem_fundamental_completo
V504,adultos_18_sem_medio_completo
V505,adultos_18_29_sem_medio_completo
V506,padrao_vida_educacao_ruim
V601,sem_conta_banco
V602,sem_fogao_ou_geladeira
V603,sem_maquina_lavar_roupa
V604,sem_microondas_ou_maquina_de_lavar_louca
V605,sem_televisao_cores
V606,sem_computador_ou_tablet
V607,atrasou_pagamento_luz_agua_gas_dificuldade_financeira
V608,atrasou_prestacao_dificuldade_financeira
V609,rendimento_familiar_gera_dificuldade_financeira
V610,rendimento_familiar_gera_muita_dificuldade_financeira
V611,sem_tv_de_led_ou_plasma
V701,inseguranca_alimentar_leve_moderada_ou_grave
V702,inseguranca_alimentar_moderada_grave
V703,inseguranca_alimentar_grave
V704,padrao_alimentar_ruim
V801,uma_hora_ou_mais_deslocamento_trabalho
V802,transporte_coletivo_ruim
V901,trabalha_mais_cinquenta_horas_e_avalia_lazer_como_ruim
V902,padrao_lazer_familiar_ruim
GRANDE_REGIAO,regiao_geografica
C1,composicao_demografica
C2,cor_ou_raca_pessoa_referencia
C3,sexo_pessoa_referencia
C4,nivel_instrucao_pessoa_referencia
C5,ocupacao_pessoa_referencia
C6,composicao_familiar
C7,decimo_renda_baseado_nos_decis_renda_disponivel_familiar_per_capita
RENDA_DISP_PC,renda_familiar_per_capita
RENDA_DISP_PC_SS,renda_disponivel_familiar_per_capita
PESO,fator_expansao_upa
PESO_FINAL,fator_expansao_upa_total
