Código da variável,Tradução código da variável
UF,unidade_federacao
ESTRATO_POF,estratificacao_geografica
TIPO_SITUACAO_REG,situacao_domicilio
COD_UPA,codigo_unidade_primaria_amostragem
NUM_DOM,numero_domicilio
NUM_UC,numero_unidade_consumo
COD_INFORMANTE,numero_informante
QUADRO,quadro
SUB_QUADRO,tipo_trabalho
SEQ,numero_sequencial_linha_quadro
V9001,codigo_despesa_aquisicao
V5302,trabalho
V53021,trabalhador_nao_remunerado
V5303,publico_estatutario
V5304,carteira_de_trabalho
V5305,contribuinte_instituto
V5307,forma_de_pagamento_rendimento
V8500,valor_rendimento
V531112,valor_deducao_previdencia
V531122,valor_deducao_imposto_renda
V531132,valor_deducao_iss
V9010,mes_ultimo_rendimento
V9011,meses_rendimento_recebido
V5314,horas_trabalhadas
V5315,duracao_trabalho
DEFLATOR,deflator
V8500_DEFLA,valor_rendimento_deflacionado
V531112_DEFLA,valor_deducao_previdencia_deflacionado
V531122_DEFLA,valor_deducao_imposto_renda
V531132_DEFLA,valor_deducao_iss_deflacionado
COD_IMPUT_VALOR,valor_rendimento_aquisicao_imputado
FATOR_ANUALIZACAO,anualizacao_rendimento_aquisicoes
PESO,fator_expansao_upa
PESO_FINAL,fator_expansao_upa_final
RENDA_TOTAL,renda_bruta_mensal_total
V53011,codigo_ocupacao
V53061,codigo_atividade
