Código da variável,Tradução código da variável
UF,unidade_federativa
ESTRATO_POF,estratificacao_geografica 
TIPO_SITUACAO_REG,situacao_domicilio 
COD_UPA,codigo_unidade_primaria_amostragem
NUM_DOM,numero_domicilio 
NUM_UC,numero_unidade_consumo
QUADRO,quadro
SEQ,numero_sequencial_linha_quadro
V9001,codigo_tipo_despesa_aquisicao
V9002,forma_aquisicao
V8000,despesa_aquisicao_unidade_consumo 
V9010,ultimo_mes_despesa_aquisicao
V9011,meses_despesa_aquisicao
V1904,despesa_inss
V1905,especie_servico_domestico_contratado
DEFLATOR,deflator
V8000_DEFLA,despesa_aquisicao_deflacionada
V1904_DEFLA,inss_deflacionado 
COD_IMPUT_VALOR,despesa_aquisicao_imputado
FATOR_ANUALIZACAO,anualizacao_despesas_aquisicoes
PESO,fator_expansao_upa
PESO_FINAL,fator_expansao_upa_total
RENDA_TOTAL,renda_bruta_mensal_total
V9004,codigo_local_aquisicao
