Código da variável,Tradução código da variável
UF,unidade_federacao
ESTRATO_POF,estratificacao_geografica
TIPO_SITUACAO_REG,situacao_domicilio
COD_UPA,codigo_unidade_primaria_amostragem
NUM_UC,numero_unidade_consumo
COD_INFORMANTE,numero_informante
QUADRO,quadro
SEQ,numero_sequencial_linha_quadro
V9001,codigo_despesa_aquisicao
V9002,forma_aquisicao
V8000,valor_despesa_aquisicao
V9010,ultimo_mes_despesa_aquisicao
V9011,meses_despesa_aquisicao
V4104,motivo_viagem_rotineira
V4105,origem_despesa_aquisicao
DEFLATOR,deflator
V8000_DEFLA,valor_despesa_aquisicao_deflacionado 
COD_IMPUT_VALOR,valor_despesa_aquisicao_imputado
FATOR_ANUALIZACAO,anualizacao_despesas_aquisicoes
PESO,fator_expansao_upa
PESO_FINAL,fator_expansao_upa_final
RENDA_TOTAL,renda_bruta_mensal_total
V9004,codigo_local_aquisicao
